batch_size,freez_ep,unfreez_ep,lr_1,lr_2,dropout_head,hidden_layer_1,hidden_layer_2,num_hidden_layers,function_values
64,4,7,4.466026747090393e-05,0.00011107262765875399,0.7182610540688219,256,512,2,-81.81818181818181
64,6,6,1.7894893594894764e-05,0.00044010478240806973,0.7662376904878405,512,256,1,-83.01886792452831
32,5,7,0.0006270977431385183,1.907771232793805e-05,0.6039768526693186,128,512,0,-83.53344768439108
32,2,6,1.4235288892889025e-05,1.7088600613184255e-05,0.5999087125282689,512,512,1,-83.01886792452831
64,6,8,2.508396692109685e-05,4.1401948015495125e-05,0.6824094651190169,512,128,1,-84.04802744425386
128,6,5,0.00011038211496918009,5.916018460561741e-05,0.3952291290587717,256,256,1,-84.21955403087479
16,5,4,0.0001262692545193229,2.376176698280793e-05,0.4437659244599156,256,64,1,-82.84734133790738
32,3,4,1.4489810812699434e-05,0.00011016161583298764,0.587125738757769,128,256,1,-83.704974271012
32,5,8,0.00048554844889533424,0.00043771961534764647,0.7980641467607807,256,64,2,-84.21955403087479
128,3,8,1.3570539707697239e-05,1.573457669333111e-05,0.6832271395936653,512,128,1,-81.47512864493997
128,6,5,0.00012041207918887395,4.999449476430397e-05,0.36224917724631733,256,256,1,-82.84734133790738
128,4,5,0.0003586501869674299,5.748962703036546e-05,0.40087547179008487,512,64,1,-81.64665523156089
32,6,8,0.0009430287313944566,1.515218453242529e-05,0.24837382169275557,256,64,2,-81.47512864493997
32,5,6,0.0006405020749719724,3.153576551206595e-05,0.8,512,128,2,-82.67581475128645
16,5,6,0.0001579064552814819,0.0004898838095334528,0.7052525126220441,64,256,2,-83.19039451114922
64,6,4,2.3253834734883807e-05,9.873894470874373e-05,0.3390340792954547,64,64,1,-81.98970840480274
16,5,8,0.0006047343439451646,6.742927361670188e-05,0.8,512,64,2,-82.50428816466552
16,3,7,0.0005831014955450346,0.0004999999999999999,0.44598568942211547,64,64,0,-81.81818181818181
32,2,6,2.1045482211654216e-05,0.000104928748110026,0.200472171994518,64,256,1,-83.36192109777015
32,3,8,0.0009897254560081266,1.691328779675557e-05,0.47328986004425283,128,256,2,-83.87650085763293
16,3,8,0.00016644426039668088,0.00019206973976880888,0.468614551476945,256,256,1,-81.98970840480274
32,6,6,0.00024118749144375054,1.4060461184076445e-05,0.20013209456007744,512,512,1,-82.67581475128645
128,4,5,0.00013164259930943176,2.160354172738486e-05,0.3150619188517204,128,256,1,-82.84734133790738
32,4,5,0.00030126407491168594,9.501743886180999e-05,0.20017655627190079,256,128,1,-82.50428816466552
32,4,6,0.000345223068561276,0.00039857861692404523,0.37820251867082344,256,64,2,-82.16123499142367
16,2,5,0.00030399948555367653,2.7230205776615188e-05,0.7997009447406169,256,256,1,-83.87650085763293
128,5,7,0.0008554690487663826,0.0002153269648775028,0.7997880966532194,256,256,0,-82.67581475128645
64,2,7,4.200500579728932e-05,0.0003603050726507791,0.20004840068732033,128,256,1,-82.67581475128645
64,4,4,0.0008343222709112069,2.152655015700607e-05,0.6040475694388598,128,256,2,-82.67581475128645
16,5,6,0.0005056500419473768,0.0004392115489236548,0.3141003556620997,256,128,2,-82.16123499142367
