,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,15.133732557296753,0.1262894684383959,0.09366329511006673,0.006600848936862117,0.48264266300688236,0.9880545828379637,0.05206266645727592,3,1000,4,10,0.6309967584541347,"OrderedDict([('colsample_bytree', 0.48264266300688236), ('gamma', 0.9880545828379637), ('learning_rate', 0.05206266645727592), ('max_depth', 3), ('n_estimators', 1000), ('reg_alpha', 4), ('reg_lambda', 10), ('subsample', 0.6309967584541347)])",0.9688062387522496,0.9754049190161967,0.9741896758703481,0.9728002778795982,0.002867457106796482,21
1,23.312718868255615,0.09031225491979189,0.09315999348958333,0.002979853652643639,0.5898214214058461,0.8422745195092473,0.01931004467408134,3,1000,7,4,0.7325820007661256,"OrderedDict([('colsample_bytree', 0.5898214214058461), ('gamma', 0.8422745195092473), ('learning_rate', 0.01931004467408134), ('max_depth', 3), ('n_estimators', 1000), ('reg_alpha', 7), ('reg_lambda', 4), ('subsample', 0.7325820007661256)])",0.9682063587282543,0.9754049190161967,0.9669867947178872,0.9701993574874462,0.003714407733502287,23
2,19.666812658309937,0.18642770006949588,0.09468730290730794,0.010485892044617794,0.8008870478263164,0.7135814436742931,0.010188716960623744,2,1000,7,2,0.7098703230962156,"OrderedDict([('colsample_bytree', 0.8008870478263164), ('gamma', 0.7135814436742931), ('learning_rate', 0.010188716960623744), ('max_depth', 2), ('n_estimators', 1000), ('reg_alpha', 7), ('reg_lambda', 2), ('subsample', 0.7098703230962156)])",0.9538092381523695,0.9652069586082783,0.9603841536614646,0.9598001168073708,0.004671390384240745,28
3,15.404751618703207,0.16369449577778725,0.0962354342142741,0.013177755652299462,0.5199151953212278,0.11363519831506708,0.04079614717904853,2,1000,5,1,0.7578529096778641,"OrderedDict([('colsample_bytree', 0.5199151953212278), ('gamma', 0.11363519831506708), ('learning_rate', 0.04079614717904853), ('max_depth', 2), ('n_estimators', 1000), ('reg_alpha', 5), ('reg_lambda', 1), ('subsample', 0.7578529096778641)])",0.97000599880024,0.976004799040192,0.9771908763505402,0.9744005580636573,0.0031449227003003586,18
4,19.78418795267741,0.23098532912441816,0.09078590075174968,0.008598433258315377,0.5293177805179987,0.7503616194597735,0.051549372228268504,4,1000,4,6,0.5434085903188586,"OrderedDict([('colsample_bytree', 0.5293177805179987), ('gamma', 0.7503616194597735), ('learning_rate', 0.051549372228268504), ('max_depth', 4), ('n_estimators', 1000), ('reg_alpha', 4), ('reg_lambda', 6), ('subsample', 0.5434085903188586)])",0.9718056388722256,0.976004799040192,0.9735894357743097,0.9737999578955757,0.0017207510379125494,19
5,18.096282641092937,0.6251213316041996,0.08455904324849446,0.0009420791966437186,0.6570858523246436,0.7902657634083016,0.04221870115617717,3,1000,10,10,0.6177038421470045,"OrderedDict([('colsample_bytree', 0.6570858523246436), ('gamma', 0.7902657634083016), ('learning_rate', 0.04221870115617717), ('max_depth', 3), ('n_estimators', 1000), ('reg_alpha', 10), ('reg_lambda', 10), ('subsample', 0.6177038421470045)])",0.9604079184163168,0.9754049190161967,0.9663865546218487,0.9673997973514541,0.006164278945128054,25
6,26.077015161514282,0.7151325573777059,0.09791247049967448,0.008138809051842586,0.5090986649719045,0.5708106687657911,0.018804608083380133,3,1000,1,3,0.4432063702180186,"OrderedDict([('colsample_bytree', 0.5090986649719045), ('gamma', 0.5708106687657911), ('learning_rate', 0.018804608083380133), ('max_depth', 3), ('n_estimators', 1000), ('reg_alpha', 1), ('reg_lambda', 3), ('subsample', 0.4432063702180186)])",0.9784043191361728,0.9826034793041392,0.9777911164465787,0.9795996382956303,0.0021387379437309046,12
7,15.541696866353353,0.11918158171930633,0.08318082491556804,8.917711877465091e-05,0.6472304743724399,0.46201887215966064,0.07770145830152726,3,1000,5,8,0.7189769820919274,"OrderedDict([('colsample_bytree', 0.6472304743724399), ('gamma', 0.46201887215966064), ('learning_rate', 0.07770145830152726), ('max_depth', 3), ('n_estimators', 1000), ('reg_alpha', 5), ('reg_lambda', 8), ('subsample', 0.7189769820919274)])",0.9736052789442111,0.9784043191361728,0.975390156062425,0.975799918047603,0.0019805092534309738,16
8,26.71948496500651,0.15268036387143138,0.10378305117289226,0.012784955458656079,0.6235787363771259,0.44319190726907987,0.02716405434828191,3,1000,0,9,0.7048979242220099,"OrderedDict([('colsample_bytree', 0.6235787363771259), ('gamma', 0.44319190726907987), ('learning_rate', 0.02716405434828191), ('max_depth', 3), ('n_estimators', 1000), ('reg_alpha', 0), ('reg_lambda', 9), ('subsample', 0.7048979242220099)])",0.9808038392321535,0.9808038392321535,0.978391356542617,0.9799996783356413,0.0011372552461776284,10
9,21.314048608144123,0.13034451158282845,0.09239157040913899,0.006998496698463518,0.9021783852521889,0.942860019206571,0.003067932678273236,2,1000,7,14,0.6671347498769074,"OrderedDict([('colsample_bytree', 0.9021783852521889), ('gamma', 0.942860019206571), ('learning_rate', 0.003067932678273236), ('max_depth', 2), ('n_estimators', 1000), ('reg_alpha', 7), ('reg_lambda', 14), ('subsample', 0.6671347498769074)])",0.9160167966406718,0.9274145170965807,0.9315726290516206,0.9250013142629577,0.0065758974767218936,29
